No,hate,offensive,comment,
1,FALSE,FALSE,!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...,
2,FALSE,TRUE,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,
3,FALSE,TRUE,!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit,
4,FALSE,TRUE,!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny,
5,FALSE,TRUE,!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;,
6,TRUE,TRUE,"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;""",
7,FALSE,TRUE,"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!""",
8,FALSE,TRUE,!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;,
9,FALSE,TRUE,""" &amp; you might not get ya bitch back &amp; thats that """,
10,TRUE,TRUE,""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch",
11,FALSE,TRUE,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh",
12,FALSE,TRUE,""" Murda Gang bitch its Gang Land """,
13,FALSE,TRUE,""" So hoes that smoke are losers ? "" yea ... go on IG",
14,FALSE,TRUE,""" bad bitches is the only thing that i like """,
15,TRUE,TRUE,""" bitch get up off me """,
16,FALSE,TRUE,""" bitch nigga miss me with it """,
17,FALSE,TRUE,""" bitch plz whatever """,
18,TRUE,TRUE,""" bitch who do you love """,
19,FALSE,TRUE,""" bitches get cut off everyday B """,
20,FALSE,TRUE,""" black bottle &amp; a bad bitch """,
21,FALSE,TRUE,""" broke bitch cant tell me nothing """,
22,FALSE,TRUE,""" cancel that bitch like Nino """,
23,FALSE,TRUE,""" cant you see these hoes wont change """,
24,FALSE,TRUE,""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up",
25,FALSE,TRUE,""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q",
26,FALSE,TRUE,""" her pussy lips like Heaven doors "" &#128524;",
27,FALSE,TRUE,""" hoe what its hitting for """,
28,FALSE,TRUE,""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;",
29,FALSE,TRUE,""" i need a trippy bitch who fuck on Hennessy """,
30,FALSE,TRUE,""" i spend my money how i want bitch its my business """,
31,FALSE,TRUE,""" i txt my old bitch my new bitch pussy wetter """,
32,FALSE,TRUE,""" i'd say im back to the old me but my old bitches would get excited "" &#128524;",
33,FALSE,TRUE,""" if you aint bout that Murder Game pussy nigga shut up """,
34,FALSE,TRUE,""" if you're toes ain't done you pussy stinks """,
35,FALSE,TRUE,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """,
36,FALSE,TRUE,""" is that ya bitch """,
37,FALSE,TRUE,""" it aint nothing to cut a bitch off """,
38,FALSE,TRUE,""" jus meet son now he ya mane ass bitches "" #Shots",
39,FALSE,TRUE,""" lames crying over hoes thats tears of a clown """,
40,FALSE,TRUE,""" like Snoop said in 94 we dont love these hoes """,
41,FALSE,TRUE,""" momma said no pussy cats inside my doghouse """,
42,FALSE,TRUE,""" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC",
43,FALSE,TRUE,""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http://t.co/bzRDl3kF7U",
44,FALSE,TRUE,""" pimps up pimps up hoes down "" Future voice",
45,FALSE,TRUE,""" post a picture of that pussy get 200 likes """,
46,FALSE,TRUE,""" pussy is a powerful drug "" &#128517; #HappyHumpDay http://t.co/R8jsymiB5b",
47,FALSE,TRUE,""" quick piece of pussy call it a drive by """,
48,FALSE,TRUE,""" running round here like some brand new pussy thats bout to get fucked """,
49,FALSE,TRUE,""" these bitches even worst they'll send them guys for you """,
50,TRUE,TRUE,""" these hoes like niggas that spend money not talk bout it """,
51,TRUE,TRUE,""" we dont trust these niggas all these bitches """,
52,FALSE,TRUE,""" yall niggas b cuffing hoes cause yall aint never have bitches """,
53,FALSE,TRUE,""" you dodge a bullet "" &#128517; &#8220;@DaRealKha: ""All da bitches I cut off pregnant or bound to be ....thank God &#128591;""&#8221;",
54,FALSE,TRUE,""" young Pill Chamberlain these bitches love my music """,
55,FALSE,TRUE,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@VandalSavage_: Teanna Trump probably cleaner than most of these twitter hoes but.........""",
56,FALSE,TRUE,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@DaHomieFuzz: Gay niggas couldn't wait to act like bitches tonight""",
57,FALSE,TRUE,"""&#128514;&#128514;&#128514;@The_Paradox: And ima steal his cat n replace it with a pitbull &#128514;&#128514;&#128514;&#128514; RT @80sbaby4life: @The_Paradox He a bitch you should do it""",
58,FALSE,TRUE,"""&amp; he's gone always be a hoe""",
59,FALSE,TRUE,"""...Son of a bitch took my Tic Tacs.""

I like this movie.",
60,FALSE,TRUE,"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons",
61,FALSE,TRUE,"""@2015seniorprobs: I probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers"". Retweet",
62,FALSE,TRUE,"""@A7XDemery: I'm a fucking fag they said""",
63,FALSE,TRUE,"""@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?",
64,FALSE,FALSE,"""@Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF"" woof woof hot scally lad",
65,FALSE,TRUE,"""@AdoreBellaaa: Have ya ever asked your bitch for other bitches - kanye voice"" Yes",
66,FALSE,TRUE,"""@AdoreZoey: How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &#128553;&#128553;&#128553;&#128553;"" I SWEAR!!!!!",
67,FALSE,TRUE,"""@AllAboutManFeet: http://t.co/3gzUpfuMev"" woof woof and hot soles",
68,FALSE,TRUE,"""@Allyhaaaaa: Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol",
69,FALSE,TRUE,"""@Almightywayne__: @JetsAndASwisher @Gook____ bitch fuck u http://t.co/pXmGA68NC1"" maybe you'll get better. Just http://t.co/TPreVwfq0S",
70,TRUE,TRUE,"""@Almightywayne__: Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?",
71,FALSE,FALSE,"""@ArizonasFinest6: Why the eggplant emoji doe?""y he say she looked like scream lmao",
72,FALSE,TRUE,"""@AutoWorId: Hennessey Venom GT &#128584; http://t.co/i8eGMnKaJ9"" that's one sexy bitch",
73,FALSE,TRUE,"""@BOSSBYTCHH: Him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!",
74,FALSE,TRUE,"""@BRO_HEN314: #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit""",
75,TRUE,TRUE,"""@BVSEDCHINK: Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http://t.co/VBCzP6HMT7""
@AmJemieBenn",
76,FALSE,TRUE,"""@BabyAnimalPics: baby monkey bathtime http://t.co/7KPWAdLF0R""
Awwwwe! This is soooo ADORABLE!",
77,FALSE,TRUE,"""@BaylaaGottaBody: &#128514;&#128514;&#128514;&#128514; I ain't shit ."" Damn Skippy lol",
78,TRUE,TRUE,"""@BeEasyJrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b &gt;30%chance",
79,FALSE,TRUE,"""@BeenBasedB: @_KudaBrazyy http://t.co/LuUBGL9Y5u"" 0 rings 0 mvps 0 bitches lol",
80,TRUE,TRUE,"""@BeenFLYnSolo: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !""",
81,FALSE,TRUE,"""@BestProAdvice: The facts on tattoos...tattoo http://t.co/ZwnbhpDZ8e"" he's a pussy with not tattooing them nipples",
82,FALSE,TRUE,"""@Bill215_: &#128175;&#128175;&#128175; RT @nel_ayden Bitches be wanting to act like niggas so bad &#128553;&#128553;&#128553; that shit aint cuteeeee"" but niggas act like bitches..",
