content,label
너무 예뻐요,1
조선일보 출신 정치인 조씨가 누구냐?,0
gov만 들어가면 무조건 다 공식싸이튼줄 착각하는 미드보고 미국배운 조선놈ㅋㅋ. 어여가서 단어외워야지..??? ㅋㅋ,0
서울에 왜 핀란드가 있어야 하는가,1
씨발 문재앙 때문이냐? 왜 점점 사회가 공산주의화 되가냐?니들 보고 용접공 하려면 할 거냐? 니 자식 새끼 용접공 시키라면 시킬 거냐고사무직과 용접공 둘 다 급여 조건이 똑같다는 가정 하에 용접공 선택하는 사람이 몇이나 될 거 같냐?그게 싫어서 학창시절부터 열심히 공부해서 좋은 성적 받은 사람이 좋은 급여와 조건에서 일하는게 맞지.뭘 자꾸 용접공도 훌륭한 직업이네 뭐네 개소리를 해.물론 누군가는 반드시 해야하는 일이지만 그게 너라면 너에게 그것말고 선택의 폭이 넓다면 안 할 거잖아.왜 자꾸 개씹소리들을 씨부려.공부 못하면 직업 선택의 폭이 좁아진다는 말은 한 건데 왜 이리들 광분함?,0
"대꿀잼~ 시작할 때부터 끝날 때까지 설렘, 웃김의 반복ㅋㅋㅋ 연기 못하는 사람 없이 진짜 다들 짱이다 다들 찰떡>.<ㅋㅋㅋ",1
진짜 너무보기좋음,1
걸려도 같은 연예인이라 장재인이 이렇게 폭로할줄 몰랐겠지 장재인한테도 득될게 없으니까,1
무슨 빙부상까지 기사가 뜨나 대단한인물인듯,1
정배엿구나 잘컷네,1
정신병자 천국이구나,0
이죄명 이 똘아이 봐라,0
너무 예뻐요ㅠㅠㅠ 사람 이목구비가 어찌저럼,1
듀엣쇼는 케이윌 팀을 위한 거라고 본다. 진짜 너무 아쉬웠다.,1
언제까지 우려 먹을꺼지? 1박2일때도 그렇고 뭔 강호동하고 이만기만 만났다 하면 콩트 찍는것도 아니고...나참,0
반칙이자너,1
"너무 보기좋음,,,아직도 정안이가 강경준한테 처음으로 ' 아빠'라고 했던게 잊혀지지않음",1
그냥 밉상 .손태영 권상우 처렁 .손태영이 밉상한체아 밉상 ..그냥 일상인데 왜 올리는지.봉사하는거나 좀올리지..기부나..살기도 힘든데 밉상들이 더짜증나게 함,1
미나씨 예쁘네요 지금 20대 한남충들보다 관리도 잘하고 필립이랑 행복하게 사세요,0
연예인 지망생.사업홍보 출연시키지 마라,0
얼마전 낸 책에 글도 잘 써서 놀랐는데 리얼예능 기대되요~,1
많이 늙으셨네..,1
화교년 아니냐,0
이새끼가 판매자일듯,0
난 별로,1
얼음물 맞고 기부들도 하는지 모르겠네요. 건물지을 기부금을 모으기위해하는건데 그냥 물만 맞고 말면 도대체 돈은 누가 내는지...,1
슬슬 정부 씹고 대구가 잘해서 극복했다는 니우스 뿌리가 ㅎㅎㅎ,1
무리수 두지마라 수입차를 사는건 예전처럼 괴시욕이 아니라 디자인 편의성및 내구성 그리고 수리가 예전처럼 힘들지 않기 때문이다국산은 성능이나 내구성에서 아직은 좋은 수입차 따라오려면 멀엇다,1
재중이가 내 인스타 놀러왔다 캬 ..신나 그치만 센척해야지 ..난 관종이니깐 ㅋㅋ,0
이명박이 걸그룹하는나라가 됐구나 만족하니 페미들아?,0
고홈 너네 나라로 사라져라,1
오히려 나는 진기주가 박주미의 딸이란게 너무 잘맞는거 같더린 둘다 토끼같이 귀여운이미지 비슷하던데,1
남자가 얼마나 속상했으면 저럴까... 같은 잘생기고 멋진 남자로서 이해한다,1
애초에유재석은 우리나라개돼지국민서으로나좋아할수있는인간상이고 개뿔재미도소신도없이게스트들빨아주는걸로 오래해먹었지. 돈도많이챙기면서매회이렇게지루하게진행하기도쉽지않음,0
"정준영씨는 개C 부라ㄹ탱이는 말할 가치 없고 이놈하고 즐긴 년들은 도대체 뭐냐? 이런 비정상적인 개싸이코랑 즐긴 년을 결코 정상적인 여자로 봐주기 어렵다. 물론 영상유출 피해는 있어선 안되지만 함께 즐긴 년들이 피해자 연기할 자격은 없다.강간이 아닌 이상 자기의 몸뚱이를 이성에게 노출시킬때는 상대의 정신상태를 대충 파악할텐데 ""그냥 즐기고 보자""식아니었겠는가. 이런 년들까지 보호해야 하나",0
아니 윤지성은 아니지ㅋㅋㅋ 애초에 윤지성 소속사에서 부탁해서 조작까지 했으면 끝까지 윤지성은 그 소속사에 붙잡혀 있어야 정상이지 근데 계약 종료 되자마자 나갔잖아,1
어차피 안본 인간들이 씹어대는거지 ㅋㅋ 본사람들은 좋았음,1
그딴거 필요없고 백마나 스시녀랑 결혼하면 승자되는거 모르노?,0
이상민이 말도안되게 고음역대로 작곡해놔서 당시 샤크라 디바노래 보면 댄스가수인데 고음역이 정말 많음 그런데 채리나는 춤완벽하게 추면서 라이브로 고음 다 앨범처럼 다 부름 메인보컬 김지현에 가려서 그렇지 노래엄청잘함,1
우욱 씹,1
뇌가리에 우동사리 가득한 것들아?,0
"성추행, 성폭력, 아동범죄에 있어서는 좀더 강력하게 처벌해야한다. 그래야 이런일들이 생기지 않지. 세상의 모든 남성들아 내 부인 말고는 모든 여성을 딸이라 생각하고 살아라~",0
설리 개이쁘다 진짜..이쁜건 진짜 반박못해..,1
성용이짜식 어릴때 봤지만 멋진부인두고 부럽다,1
엥가이 해라 시발로마,0
저런건 떠벌여야지~~~,1
